name,densidade demografica 2019 (hab/km2),old_rel_2010,(mean) Percentual da população que vive em domicílios com densidade superior a 2 pessoas por dormitório,(mean) Percentual de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados,(mean) Índice de Desenvolvimento Humano Municipal,est_active_cases (2020-06-14),FOI,vel_infection,Class,Bandeira
Aflitos,1.99322580645161,0.117656578734423,2.7,2.18,952,25,0.0101785571080038,0.50561797752809,3,Amarela
Afogados,1.05184281842818,0.0794321490222348,3.6425,28.70375,0.7405,140,0.011472032187313,0.723803755299818,4,Laranja
Alto José Bonifácio,2.33982456140351,0.0616330509109995,5.49,35.59,659,40,0.00797540817691722,0.525394045534151,4,Laranja
Alto José do Pinho,3.21951219512195,0.071969696969697,4.16,33.035,0.6975,45,0.00903291933604205,0.574043261231281,4,Laranja
Alto do Mandu,1.9928,0.10457647531112,0,26.7,0.76,20,0.0104308450893903,0.498687664041995,3,Amarela
Apipucos,0.266940298507463,0.074643556052558,1.07,22.37,0.778666666666667,25,0.0179150661704997,0.683760683760684,3,Amarela
Areias,1.33308333333333,0.0859536163030568,1.54,27.115,0.73975,180,0.0160077687650844,0.707502374169041,4,Laranja
Arruda,1.5551,0.0765867146807279,2.336,21.874,0.7788,100,0.0177892367391408,0.763490241102181,4,Laranja
Bairro do Recife,0.0238518518518518,0.0279503105590062,2.81,22.34,796,5,0.0204676000653269,5,4,Laranja
Barro,0.750748898678414,0.0607323084145053,2.15,27.1775,0.74,60,0.00455287996143536,0.647699757869249,2,Verde
Beberibe,1.93428571428571,0.0635155096011817,2.45,36.32,664,40,0.0106010817278952,0.744500846023689,4,Laranja
Boa Viagem,1.74710491367862,0.108386478864675,2.77714285714286,21.9264285714286,0.797071428571428,765,0.0224477311790381,0.776175717558281,5,Vermelha
Boa Vista,0.898636363636364,0.133598887202833,4.09,11.08,867,125,0.0287936574710114,0.867507886435331,4,Laranja
Bomba do Hemetério,2.10860465116279,0.0804014558288298,5.36,37.345,0.6745,25,0.0073236127139759,0.709534368070953,4,Laranja
Bongi,1.44433333333333,0.0756981306254327,3.27,25.9425,0.7605,50,0.0146855933443262,0.51983584131327,4,Laranja
